Tajuk Perolehan,Kategori Perolehan,Kementerian,Agensi,Nama Syarikat,Nilai Perolehan,Kriteria Rundingan Terus,Tarikh
PERMOHONAN KELULUSAN BAGI MELANTIK SYARIKAT MESINIAGA BERHAD BAGI MELAKSANAKAN PENYENGGARAAN APPLICATION SOFTWARE UNTUK SISTEM DATA WAREHOUSE FOR PERFORMANCE REPORTING SECARA  RUNDINGAN TERUS DI KUMPULAN WANG SIMPANAN PEKERJA (KWSP) (TEMPOH 3 TAHUN MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2017),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),MESINIAGA BERHAD,169176.00,Kepakaran,24/09/2014
MEMOHON KELULUSAN KHAS PERBENDAHARAAN UNTUK RUNDINGAN TERUS DENGAN SYARIKAT ENVYR COMMUNICATIONS SDN BHD BAGI PERKHIDMATAN PERUNDINGAN PERHUBUNGAN AWAM DAN MEDIA KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI (MITI)SELAMA DUA TAHUN MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2016,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,ENVYR COMMUNICATIONS SDN. BHD.,960000.00,"Kepakaran, Keperluan Mendesak",22/09/2014
"MEMOHON KELULUSAN LANTIKAN TERUS SEMBILAN (9) INSTITUT LATIHAN KEMAHIRAN SWASTA (ILKS) BAGI MELAKSANAKAN PROGRAM PENINGKATAN KAPASITI DAN KAPABILITI KUMPULAN KHUSUS (PPKK) BAGI TAHUN 2014 NEGERI PERLIS

TEMPOH KONTRAK : 6 - 12 BULAN (MENGIKUT KURSUS)",PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PERANCANG EKONOMI (UPE),"PUSAT LATIHAN KEMAHIRAN SLC SDN. BHD., PUSAT PEMBANGUNAN KEMAHIRAN INDUSTRI DAN PENGURUSAN KEDAH (KISMEC), JT AKADEMI SDN BHD, PUSAT TEKNIKAL SPECTRUM SDN. BHD., SIKAP BUDAYA SDN. BHD., SILICON TECHNOLOGY CENTRE SDN. BHD., SAVECOST BUSINESS DEVELOPMENT AND TECHNICAL ACADEMY, RANACO MARINE SDN. BHD., KUMPULAN SM LANGKASUKA SDN. BHD.",2000000.00,Penyeragaman,22/09/2014
"PERMOHONAN KELULUSAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN SEWAAN SUMBER ICT DAN PERKHIDMATAN KEPAKARAN TEKNIKLA APLIKASI UNTUK PELAKSANAAN SISTEM PEPERIKSAAN ONLINE DI SURUHANJAYA PERKHIDMATAN AWAM MALAYSIA
TEMPOH : 1 TAHUN (1 OGOS 2014 - 31 JULAI 2015)",PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,SURUHANJAYA PERKHIDMATAN AWAM (SPA),"JARING COMMUNICATIONS SDN. BHD., NOVATIS RESOURCES SDN BHD",1876300.00,"Keperluan Mendesak, Kepakaran",19/09/2014
"PERMOHONAN PELANTIKAN NEWCIRCLE,INC. SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN LATIHAN ""ANDROID INTERNALS"" UNTUK PUSAT BANTUAN CYBER999 (MYCERT), CYBERSECURITY MALAYSIA MULAI 17 HINGGA 21 NOVEMBER 2014",PERKHIDMATAN BUKAN PERUNDING,"KEMENTERIAN SAINS, TEKNOLOGI DAN INOVASI",MALAYSIAN CYBER SECURITY AGENCY,"NEWCIRCLE,INC.",75960.25,"SATU PUNCA (PERKHIDMATAN), KEPAKARAN",19/09/2014
"PERMOHONAN KELULUSAN KHAS KEMENTERIAN KEWANGAN MALAYSIA UNTUK MELANTIK SYARIKAT CHARLES RIVER CENTRE SECARA RUNDINGAN TERUS BAGI PEROLEHAN PERKHIDMATAN PELAKSANAAN PROGRAM INTAN LEADERSHIP AND TRANSFORMATION SUMMIT 2014 PADA 15 DAN 16 OKTOBER 2014
TEMPOH : 2 HARI (PROGRAM DILAKSANAKAN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,JABATAN PERKHIDMATAN AWAM,CHARLES RIVER CENTRE SDN. BHD.,160000.00,Kepakaran,18/09/2014
PERMOHONAN PEROLEHAN PERKHIDMATAN PENAMBAHBAIKAN STAMPS ASSESSMENT AND PAYMENT SYSTEM (STAMPS) BERDASARKAN AKTA SETEM BAHARU DI LEMBAGA HASIL DALAM NEGERI MALAYSIA UNTUK TEMPOH 2 TAHUN 8 BULAN,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),ZANKO SDN BHD,6110000.00,Keperluan Mendesak,11/09/2014
"MEMOHON KELULUSAN KHAS KEMENTERIAN KEWANGAN UNTUK MELANTIK MELAKA INTERNATIONAL TRADE CENTRE SDN BHD (MITC) BAGI MENGANJURKAN SHOWCASE SATU DAERAH SATU INDUSTRI PERINGKAT NASIONAL 2014 (SHOWCASE SDSI 2014) PADA 4 - 7 DISEMBER 2014 DI MITC, MELAKA DENGAN ANGGARAN KOS RM2,425,000.00",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERDAGANGAN ANTARABANGSA DAN INDUSTRI,,MELAKA INTERNATIONAL TRADE CENTRE SDN. BHD.,2360000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",11/09/2014
PERMOHONAN PEROLEHAN PERKAKASAN DAN PERISIAN KESELAMATAN UNTUK CAPAIAN APLIKASI BAGI PELAKSANAAN STESEN KERJA JARAK JAUH (SKJ) DI LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM) SECARA RUNDINGAN TERUS DENGAN MIMOS BERHAD. (TEMPOH 3 TAHUN 7 BULAN MULAI 1/11/2014 HINGGA 31/5/2018),BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),MIMOS BERHAD,1534211.53,Kepakaran,05/09/2014
"PERMOHONAN PEROLEHAN PERKHIDMATAN PENYEWAAN ENAM (6) UNIT MESIN PENGIMBAS TERMASUK PERKAKASAN DAN PERISIAN DI JABATAN PEMPROSESAN MAKLUMAT (JPPM), LEMBAGA HASIL DALAM NEGERI MALAYSIA (LHDNM) SECARA RUNDINGAN TERUS DENGAN LEADINGEDGE IT SOLUTION SDN. BHD. (TEMPOH: SATU (1) TAHUN,MULAI 15 OKTOBER 2014 - 14 OKTOBER 2015)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),LEADINGEDGE IT SOLUTION SDN. BHD.,350000.00,Penyeragaman,04/09/2014
"PERMOHONAN JABATAN AKAUNTAN NEGARA MALAYSIA BAGI PEROLEHAN PERKHIDMATAN PENYENGGARAAN PERKAKASAN, LESEN PERISIAN DAN APLIKASI SISTEM ESPKB DAN ETERIMAAN UNTUK TEMPOH SATU TAHUN MULAI 1 JANUARI 2015 HINGGA 31 DISEMBER 2015",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN AKAUNTAN NEGARA MALAYSIA,XYBASE TECHNOLOGIES (M) SDN. BHD.,15600000.00,PENYERAGAMAN,03/09/2014
PERMOHONAN UNTUK RUNDINGAN TERUS BAGI PROMOSI MAHA 2014 (MEDIA ELEKTRONIK) BAGI TAHUN 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,"CREATIVE EYE SDN BHD, AD MEDIA & DESIGN SDN BHD, EFICAZ MEDIA SDN BHD, NAMUZA TRADING SDN. BHD., ASTRO  AWANI NETWORK SDN BHD, AL- HIJRAH MEDIA CORPORATION",1096945.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),29/08/2014
"RUNDINGAN TERUS BAGI KONTRAK PERKHIDMATAN SOKONGAN DAN PENYELENGGARAAN SISTEM PENGURUSAN MAKMAL [LABORATORY INFORMATION MANAGEMENT SYSTEM (LIMS)] DI PUSAT PENYELIDIKAN BIOTEKNOLOGI, IBU PEJABAT MARDI SERDANG, SELANGOR UNTUK TEMPOH SATU (1) TAHUN MULAI 1/11/2014 HINGGA 31/10/2015",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),EFFECTIVE SHIELD SDN. BHD.,220800.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",27/08/2014
"RUNDINGAN TERUS BAGI CADANGAN MENGUBAHSUAI DUA UNIT (2) BILIK SEJUK SEDIA ADA MENJADI AIRTIGHT CA ROOM DAN KERJA-KERJA BERKAITAN DI KOMPLEKS LEPAS TUAI, PUSAT PENYELIDIKAN HORTIKULTUR, IBU PEJABAT MARDI SERDANG, SELANGOR (TEMPOH SIAP 6 BULAN)",KERJA,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,INSTITUT PENYELIDIKAN DAN KEMAJUAN PERTANIAN MALAYSIA (MARDI),ETD MAKMUR (M) SDN.BHD.,265500.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Kepakaran",27/08/2014
"MEMOHON KELULUSAN UNTUK MELANTIK SYARIKAT KYM STES SDN. BHD. DAN KOLEJ RISDA SDN.BHD. BAGI MELAKSANAKAN PROGRAM PENINGKATAN KAPASITI DAN KAPABILIT KUMPULAN KHUSUS NEGERI MELAKA BAGI TAHUN 2014

TEMPOH KONTRAK :  1 - 12 BULAN (MENGIKUT KURSUS)",PERKHIDMATAN BUKAN PERUNDING,JABATAN PERDANA MENTERI,UNIT PERANCANG EKONOMI (UPE),"KOLEJ RISDA SDN. BHD., KYM STES SDN. BHD.",3000000.00,"Keperluan Mendesak, Penyeragaman",26/08/2014
"PERMOHONAN PEROLEHAN BAGI PEMBEKALAN 350,000 BAHAN HABIS GUNA KAD PENGENALAN KANAK-KANAK (MYKID) UNTUK KEGUNAAN JABATAN PENDAFTARAN NEGARA SECARA RUNDINGAN TERUS DENGAN SYARIKAT DATASONIC TECHNOLOGIES SDN. BHD. UNTUK TEMPOH 25 SEPTEMBER 2014 HINGGA 24 MAC 2015",BEKALAN,KEMENTERIAN DALAM NEGERI,JABATAN PENDAFTARAN NEGARA,DATASONIC TECHNOLOGIES SDN. BHD.,821150.00,"KEPAKARAN, PENYERAGAMAN",26/08/2014
PERMOHONAN KELULUSAN KHAS SECARA RUNDINGAN TERUS BAGI PEROLEHAN KERJA-KERJA PINDAAN AKTA HAKMILIK STRATA 1985 (PINDAAN) 2013 (AKTA A1450) DALAM SISTEM E-TANAH PULAU PINANG MAULAI 15 DISEMBER 2014 HINGGA 14 DISEMBER 2019,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,JABATAN KETUA PENGARAH TANAH DAN GALIAN (JKPTG),ILAUNCH SDN. BHD.,636000.00,Kepakaran,25/08/2014
PERMOHONAN PELANJUTAN KONTRAK PERKHIDMATAN PELUASAN SISTEM PENGURUSAN ASET KE PERINGKAT PEJABAT PENGARAH NEGERI/ CAWANGAN/ CAWANGAN SIASATAN SELURUH NEGARA LEMBAGA HASIL DALAM NEGERI MALAYSIA DENGAN SYARIKAT KANNTRONICS SDN BHD UNTUK TEMPOH TIGA (3) TAHUN MULAI  1 OKTOBER 2014 HINGGA 30 SEPTEMBER 2017,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),KANNTRONICS SDN. BHD.,201000.00,Penyeragaman,25/08/2014
PERMOHONAN JABATAN KASTAM DIRAJA MALAYSIA BAGI PEROLEHAN PROJEK MENAIKTARAF PERKAKASAN MULTI-OS SECARA RUNDINGAN TERUS DENGAN SYARIKAT EDARAN IT SERVICES SDN. BHD. UNTUK TEMPOH 5 BULAN MULAI OKTOBER 2014 HINGGA FEBRUARI 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,EDARAN IT SERVICES SDN BHD,8230000.00,"PENYERAGAMAN, KEPAKARAN",22/08/2014
PERMOHONAN PEROLEHAN PENYAMBUNGAN TALIAN INTERNET GATEWAY JABATAN KASTAM DIRAJA MALAYSIA SELAMA 4 BULAN 14 HARI SECARA RUNDINGAN TERUS DENGAN SYARIKAT TELEKOM MALAYSIA,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,TELEKOM MALAYSIA BERHAD,638560.35,"SATU PUNCA (PERKHIDMATAN), PENYERAGAMAN, KEPAKARAN",22/08/2014
PERMOHONAN KELULUSAN BAGI PELANJUTAN TEMPOH DAN PERTAMBAHAN NILAI KONTRAK SEDIA ADA (NO.KONTRAK: KPM/42/2013/10/0048)PEROLEHAN SECARA RUNDINGAN TERUS DENGAN UNIVERSITI UTARA MALAYSIA (UUM)SEBAGAI PENYEDIA LATIHAN BAGI MENGENDALIKAN PROGRAM TEACH FOR SELAMA DUA (2) TAHUN MULAI 23 NOVEMBER 2014 HINGGA 31 DISEMBER 2016,BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,BAHAGIAN PEROLEHAN DAN PENGURUSAN ASET,UNIUTAMA MANAGEMENT HOLDINGS SDN. BHD.,4800000.00,PENYERAGAMAN,22/08/2014
PERMOHONAN KELULUSAN BAGI PELANTIKAN SYARIKAT VENTURE NUCLEAS (M) SDN. BHD. BAGI PERKHIDMATAN PENAMBAHBAIKAN UNTUK ACCESS CARD AND TIME ATTENDANCE SYSTEM (ACTAS) SECARA RUNDINGAN TERUS (DI KUMPULAN WANG SIMPANAN PEKERJA) (TEMPOH SIAP/PENGHANTARAN: 31 DISEMBER 2014),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),VENTURE NUCLEUS (M) SDN. BHD.,110400.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",19/08/2014
PERMOHONAN KELULUSAN BAGI PELANTIKAN SYARIKAT TELE DYNAMICS SDN. BHD. UNTUK PERKHIDMATAN PENYELENGGARAAN 52 MESIN FOTOSTAT JENAMA TOSHIBA DI KWSP BERDASARKAN BACAAN METER (METER READING) SECARA RUNDINGAN TERUS (1 TAHUN + 1 TAHUN LANJUTAN - MULAI 24 OKTOBER 2014 HINGGA 23 OKTOBER 2016),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),TELE DYNAMICS SDN. BHD.,369360.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),18/08/2014
PERMOHONAN KELULUSAN BAGI MELANTIK SYARIKAT KE SDN. BHD. BAGI MELAKSANAKAN PERKHIDMATAN PENAMBAHBAIKAN SISTEM MAKLUMAT SUMBER MANUSIA (SMSM) SECARA RUNDINGAN TERUS OLEH KUMPULAN WANG SIMPANAN PEKERJA (KWSP)- (MULAI TARIKH LANTIKAN HINGGA 31 JANUARI 2015),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),KE SDN BHD,171175.00,"Penyeragaman, Kepakaran",15/08/2014
PERMOHONAN KELULUSAN MELANTIK INNOVATION ASSOCIATES CONSULTING SDN. BHD. UNTUK PENAMBAHBAIKAN INTEGRATED FINANCIAL & ADMINISTRATIVE MANAGEMENT SYSTEM (IFAMS) BAGI PELAKSANAAN CUKAI BARANG DAN PERKHIDMATAN (GST) SECARA RUNDINGAN TERUS DI KUMPULAN WANG SIMPANAN PEKERJA (KWSP)(TEMPOH: MULAI TARIKH LANTIKAN (13/10/2014)SEHINGGA JUN 2015,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,KUMPULAN WANG SIMPANAN PEKERJA (KWSP),INNOVATION ASSOCIATES SDN. BHD.,143100.00,Kepakaran,14/08/2014
PERMOHONAN KELULUSAN PENYAMBUNGAN KONTRAK PENYELENGGARAAN RANGKAIAN KAMPUS UNIVERSITI SAINS ISLAM MALAYSIA (USIM),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN TINGGI,UNIVERSITI SAINS ISLAM MALAYSIA (USIM),MESINIAGA BERHAD,640000.00,"Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Penyeragaman",14/08/2014
MEMOHON KELULUSAN UNTUK MELANTIK MIMOS BERHAD BAGI MEMBANGUN DAN MENAMBAH BAIK PORTAL AGROBAZAAR.COM.MY (TAHUN 2014),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,,MIMOS BERHAD,1449000.00,Kepakaran,14/08/2014
"PERMOHONAN PEROLEHAN PROJEK MAKMAL SAINS FORENSIK JKDM DI BANGUNAN JKDM DENGKIL BERTEMPAT DI ARAS TANAH, LOT 2607, BATU 1/4 JALAN AIR HITAM, 48300 DENGKIL, SELANGOR SECARA RUNDINGAN TERUS DENGAN SYARIKAT PRISMA KHAS SDN. BHD. MULAI 1 NOVEMBER 2014 SEHINGGA 31 OKTOBER 2017",BEKALAN,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,PRISMA KHAS SDN. BHD,2554000.00,"MENDESAK, PENYERAGAMAN",08/08/2014
"PERMOHONAN KELULUSAN BAGI PEROLEHAN MEMBEKAL, MENGUJI, MENTAULIAH DAN MENYELENGGARA SERVER UNISYS DORADO 4190 SECARA RUNDINGAN TERUS BAGI TEMPOH KONTRAK 18 BULAN MULAI 01 OKTOBER 2014 HINGGA 31 MAC 2016",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER MANUSIA,PERTUBUHAN KESELAMATAN SOSIAL (PERKESO),UNISYS (MALAYSIA) SDN. BHD.,6304515.00,MENDESAK,08/08/2014
"PEROLEHAN PEMBEKALAN, PENGHANTARAN, PEMASANGAN, PENGUJIAN DAN PENTAULIAHAN PERALATAN PEMERIKSAAN DOKUMEN, AKADEMI IMIGRESEN MALAYSIA (JIM) SECARA RUNDINGAN TERUS DENGAN SYARIKAT INTEGWEALTH SDN. BHD. UNTUK TEMPOH 22 SEPTEMBER 2014 HINGGA 21 SEPTEMBER 2015",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN DALAM NEGERI,JABATAN IMIGRESEN MALAYSIA,INTEGWEALTH SDN. BHD.,2808900.00,"SATU PUNCA (PERKHIDMATAN), KEPAKARAN",25/07/2014
PERMOHONAN RUNDINGAN TERUS BAGI PELANTIKAN SYARIKAT GOLDEN HOLIDAYS AGENCY SDN BHD SEBAGAI PEMBEKAL PERKHIDMATAN UNTUK PERSIAPAN LOGISTIK DAN KEPERLUAN TEKNIKAL SEMPENA PROGRAM MINGGU BUDAYA MALAYSIA ISTANBUL 2014 (4-10 SEPT 2014),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,KEMENTERIAN PELANCONGAN DAN KEBUDAYAAN MALAYSIA,GOLDEN HOLIDAYS AGENCY SDN. BHD.,3615171.25,Kepakaran,24/07/2014
"PERMOHONAN PEROLEHAN SEBELAS (11) UNIT MESIN FRANKI DIGITAL BAGI PUSAT KHIDMAT HASIL BARU, LEMBAGA HASIL DALAM NEGERI MALAYSIA  RUNDINGAN TERUS DENGAN SYARIKAT ANYTEKSYS SDN. BHD. (TEMPOH SATU (1) TAHUN)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,LEMBAGA HASIL DALAM NEGERI (LHDN),ANYTEKSYS ADN. BHD.,165000.00,"Penyeragaman, Keperluan Mendesak, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",24/07/2014
"PERMOHONAN KELULUSAN PENYAMBUNGAN PERKHIDMATAN SEWAAN TALIAN IPVPN KASTAM*NET, LOCAL AREA NETWORK (LAN) SERVICES DAN KOMUNIKASI SUARA DI PEJABAT JABATAN KASTAM DIRAJA MALAYSIA (JKDM) BANGUNAN MENARA TULUS, PRESINT 3, PUTRAJAYA MULAI 19 SEPTEMBER 2014 SEHINGGA 17 SEPTEMBER 2017SECARA RUNDINGAN TERUS DENGAN SYARIKAT TELEKOM MALAYSIA BERHAD",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KEWANGAN,JABATAN KASTAM DIRAJA MALAYSIA,TELEKOM MALAYSIA BERHAD,537691.44,"SATU PUNCA (BEKALAN), PENYERAGAMAN, KEPAKARAN",24/07/2014
"PERMOHONAN KELULUSAN PEMBELIAN TLC VISUALIZER UNTUK PERALATAN CAMAG HPLC SECARA RUNDINGAN TERUS UNTUK INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM) 52109 KEPONG SELANGOR DARUL EHSAN
TEMPOH KONTRAK : 8 MINGGU (17 SEPTEMBER 2014 - 5 NOVEMBER 2014)",BEKALAN DAN PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN SUMBER ASLI DAN ALAM SEKITAR,INSTITUT PENYELIDIKAN PERHUTANAN MALAYSIA (FRIM),RESEARCH INSTRUMENTS SDN. BHD.,95800.00,Kepakaran,16/07/2014
"PERMOHONAN UNTUK MELAKSANAKAN PERKHIDMATAN MENYEDIAKAN IKLAN DI BADAN BAS SHUTTLE KLIA2, BAS METRO DAN BAS RAPID KL SECARA RUNDINGAN TERUS DENGAN SYARIKAT MESRA INDAH JAYA SDN. BHD SEMPENA MAHA 2014 PADA 20 HINGGA 30 NOVEMBER 2014",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,UNIT PERHUBUNGAN AWAM,MESRA INDAH JAYA AUTOPART SERVICES & TRADING SDN. BHD.,128000.00,"Penyeragaman, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",08/07/2014
PERMOHONAN UNTUK MELAKSANAKAN PEROLEHAN PENGIKLANAN DAN PROMOSI SEMPENA MAHA 2014 SECARA RUNDINGAN TERUS (MEDIA CETAK)(20-30 NOV 2014),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,"UTUSAN MEDIA SALES SDN. BHD., MEDIA PRIMA BERHAD, KUMPULAN KARANGKRAF SDN. BHD.",1431600.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),07/07/2014
"PERMOHONAN PEROLEHAN SECARA RUNDINGAN TERUS BAGI PEROLEHAN KERJA-KERJA MEMBEKAL DAN MEMASANG ATLASKOTE STANDARD SPORT SURFACING SYSTEM FOR RE-SURFACE OF SPORTS COURT, UNIVERSITI MALAYSIA PAHANG (TEMPOH KONTRAK 4 MINGGU DARI 1 DISEMBER 2014 HINGGA 31 DISEMBER 2014)",KERJA,KEMENTERIAN PENDIDIKAN MALAYSIA,UNIVERSITI MALAYSIA PAHANG (UMP),ACTIVE HYDRO CONTROL SDN BHD,397000.00,"Keperluan Mendesak, Kepakaran, Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais)",07/07/2014
"PERMOHONAN KELULUSAN DASAR BAGI PEROLEHAN SECARA RUNDINGAN TERUS SEWAAN KOLEJ KEDIAMAN UNIVERSITI TUN HUSSEIN ONN
8 UNIT BANGUNAN KEDAI 3 TINGKAT DI TAMAN KELISA, PARIT RAJA
TEMPOH MULAI 1 SEPTEMBER 2014 - 31 OGOS 2016",PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PENDIDIKAN MALAYSIA,UNIVERSITI TUN HUSSEIN ONN MALAYSIA (UTHM),KEMAJUAN TERATAI SAJAK SDN. BHD.,1668096.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),27/06/2014
PERMOHONAN PERTAMBAHAN SKOP BAGI KERJA-KERJA PENGALIHAN KABEL TENAGA NASIONAL BERHAD DI CH5900 - PROJEK LANDASAN KERETA API DARI SUBANG KE TERMINAL SKYPARK SUBANG FASA 1,KERJA,KEMENTERIAN PENGANGKUTAN,BAHAGIAN PEMBANGUNAN,KONSORTIUM SKYPARK LINK SDN BHD-LION PACIFIC SDN BHD,3400000.00,"Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais), Keperluan Mendesak",25/06/2014
PROGRAM LAPORAN KHAS DOKUMENTARI SYARIKAT PENERAJU DAN PKS DI BAWAH NKEA PERTANIAN MENERUSI BULETIN UTAMA TV3 SECARA RUNDINGAN TERUS DENGAN MEDIA PRIMA BERHAD (TAHUN 2014),PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,,MEDIA PRIMA BERHAD,371000.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),24/06/2014
PELANTIKAN PUTRAJAYA INTERNATIONAL CONVENTION CENTRE SDN BHD (PICC) UNTUK MAJLIS KONVOKESYEN SEKTOR PERTANIAN 2014 ANJURAN MAJLIS LATIHAN PERTANIAN KEBANGSAAN (NATC) DENGAN KERJASAMA JABATAN PERTANIAN MALAYSIA DAN JABATAN PERKHIDMATAN VETERINAR MALAYSIA PADA 29 DAN 30 OKTOBER 2014,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,MAJLIS LATIHAN KEMAHIRAN PERTANIAN KEBANGSAAN (NATC),PUTRAJAYA INTERNATIONAL CONVENTION CENTRE SDN BHD,157780.00,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),23/06/2014
PEROLEHAN SECARA RUNDINGAN TERUS BAGI PERKHIDMATAN PENYELENGGARAAN SISTEM PENGURUSAN KESELAMATAN BERSEPADU (SPKB)SECARA KOMPREHENSIF UNTUK FASA 1 HINGGA FASA VIII,PERKHIDMATAN BUKAN PERUNDING,KEMENTERIAN KOMUNIKASI DAN MULTIMEDIA,,STT TECHNOLOGIES SDN BHD,29709655.00,Penyeragaman,20/06/2014
PERMOHONAN PEMBELIAN 11 UNIT KIT UJIAN ELISA KIT FOR FMD ANTIBODY DETECTION (LIQUID PHASE BLOCKING IMMUNOASSAY) DAN 1 UNIT KIT ELISA KIT FOR FMD ANTIGEN DETECTION DARIPADA BIOLOGICAL DIAGNOSTIC SUPPLIES LIMITED SECARA RUNDINGAN TERUS( TAHUN 2014),BEKALAN,KEMENTERIAN PERTANIAN DAN INDUSTRI ASAS TANI,JABATAN PERKHIDMATAN VETERINAR,BIOLOGICAL DIAGNOSTIC SUPPLIES LIMITED,276779.02,Satu Punca Bekalan/ Perkhidmatan (Pembuat/ Pemegang Frachais),19/06/2014
